;text
0;Er is een teek op mijn been. Ik ben bang dat die er al een tijdje op heeft gezeten
1;Er is een teek op mijn rug en ik krijg hem er niet af
2;Op mijn been zit een teek. Ik heb hem geprobeerd te verwijderen maar het lukt niet
3;Ik heb allergieen
4;huid
5;roodheid
6;schilfering
7;Ik heb wratten onder mijn voet
8;Ik heb gisteren naar het bos geweest en zie nu pas dat ik hem heb. Ik heb hem verwijderd, maar moet ik verder nog iets doen
9;Ik voelde iets prikken
10;benen
11;ik heb armpijn
12;Er loopt bloed uit mijn oren
13;Het doet pijn achter mijn oren
14;Ik heb al een week lang last van mijn oren
15;Mijn kind heeft last aan beide oren
16;Oorklachten bij jonge kinderen
17;oorontsteking
18;Ik heb volgens mij zon teek ding, maar krijg hem er niet uit!
19;Ik heb pijnlijke tanden
20;2 weken heb ik een kriebelhoest waar ik niet vanaf kom. soms ook hees. Wat kan ik doen? Heb al codeiene geprobeerd, Ventolin van mijn man. beide geven geen verlichting. mijn werk vraagt dat ik de hele dag kan praten. ik heb dan hoestbuien.
21;2 weken heb ik een kriebelhoest waar ik niet vanaf kom. soms ook hees. Wat kan ik doen? Heb al codeiene geprobeerd, Ventolin van mijn man. beide geven geen verlichting. mijn werk vraagt dat ik de hele dag kan praten. ik heb dan hoestbuien. ik heb net een walnoot gegeten, en ben nu hees en keel geÃ¯rriteerd, en opgezette lippen
22;Ik had antibiotica gekregen ivm luchtweg infectie is nu voorbij hoesten ook een heel eind alleen nog erg hees
23;hallo, ik heb sinds drie dagen een klein bobbeltje op mijn tandvlees hij doet een beetje pijn, mijn wang is een tikkie dik. de keis is al eerder gevuld en het is sinds kort. enig idee wat het is? ik durf nml niet naar de tandarts , ik spoel met meridol en poets er nu mee
24;ik heb net een walnoot gegeten, en ben nu hees en keel geÃ¯rriteerd, en opgezette lippen
25;Al 3 dagen last van enorme tandpijn! Nu is de tandpijn minder , maar zit er een grote opzwelling achter mijn tand. Is dit een gewone ontsteking ?
26;Hallo ik heb gister mijn kies eruit laten trekken om een bepaald reden nu heb ik er geen last meer van, maar ik heb nu een soord bloedbal? op een formaat van een tand op die plek? is dit normaal ?
27;dag ! heeft iemand enig idee hoe lang de zwelling in de kaak blijft na het uitsnijden van verstandskiezen? het is nu dag twee en mn kaak staat nog steeds een beetje dik, k heb der wel volle bak ijs op gelegd,al van het begin af. dank & groetjes! Xxx
28;hallo ik heb soms van die pijnlijke pijnscheuten door mijn kies, want mijn vulling is eruit kan er soms bijna niet van slapen wat kan ik hiermee het beste doen zodat ik weinig last heb ?
29;hallo, ik heb nog geen 24 uur geleden de voorlaatste kies bovenaan laten trekken, ik merk dat ik nog geregeld bloed uitspuw en ook heb ik last van een felle stekende pijn juist onder het kaaksbeen, is dit enigszins normaal?
30;hoi ik heb een vraag ik ben 12 jaar en ik heb een blauwe tand nu wil ik niet naar mn ouders gaan omdat ik banhg ben dat hun boos worden. weet iemand hoe ik er vanaf kom?
31;Hallo, Ik ben een jongen van 14 jaar en heb aardig last van ''bijna flauwvallen'' Het gebeurd meestal als ik ergens zit. Dan sta ik op en krijg ik ineens een waas voor me ogen en val ik bijna flauw. Zoiets gebeurd best vaak. Weet iemand misschien wat er aan de hand kan zijn? Mvg, Sander
32;Heb zeer harde ontlasting en het kan er uit, als ik dat wil wel, maar dan komt het gevoel als ik druk dat ik ga flauwvallen. Wat kan ik hier aan doen, is een te raar gevoel om het gewoon uit te drukken
33;Ik krijg geen lucht bij staan en lopen, zweetuitbarstingen en het gevoel om flauwtevallen?
34;Mijn dochter van 15 stond net voor mij en werd zwart voor de ogen, kon haar vastpakken om te gaan zitten. En ze had een piep in haar oren. Misschien even te lage bloeddruk?
35;In oog gewreven en daardoor make up in oog gekomen.
36;Al enkele weken last van pijn bij mijn kaak , vanaf vorige week druk op mijn oor en hoofdpijn. Vanmorgen wakker geworden met pijnlijk dik oog en hoofdpijn. Oog is dunner maar niet minder pijnlijk
37;Hallo ik heb een kleine (probleem) ik werd getest voor mijn ogen (dokter gaat met zijn vinger van links naar rechts San moet je naar de vinger blijven kijken) alleen helemaal links zie ik de puntje van de vinger niet? Wat kan dit zijn? Ik hoop niet dathet iets erg is Heel erg bedankt
38;Hallo, Laatst fietste ik en plotseling werd het zwart voor mijn ogen. Ik verwacht dat dit kwam doordat ik te weinig gedronken heb. Nadat ik water aangeboden kreeg, kwam mijn zicht weer terug. Zou dit blijvende schade veroorzaakt kunnen hebben in mijn hersenen? mvg, Youri
39;Hallo, ik heb sinds bijna een jaar last van droge ogen door wimpers die in mijn oog prikken en heb daardoor ook een zwelling onder mijn ogen. Het is erg vervelend in het dagelijkse leven. Het zijn een paar haren die in mijn oog prikken. Kan iemand mij helpen? Zijn er oplossingen? Gr J Dijkstra
40;Heb veel last van jeukende ogen nu is de eiken rups veel aanwezig maar heb verder op mijn lichaam geen uitslag alleen op mijn oogleden. Wat zou dit kunnen zijn en moet ik mijn huisarts raadplegen
41;Ik ben een aantal jaren geleden aan mijn oog geopereerd nu zie ik met een bepaalde regelmaat zwarte stippen als ik moe ben wat is hier de oorzaak van.
42;Ik ben nu 2 dagen ziek met 39,3 koorts, nu ging ik net douchen en voelde me heel erg slecht, ik stapte uit de douche en was voor 2 minuutjes helemaal blind! Wat nu te doen? Ben 18 jaar oud.
43;Ik had een vonkje van een sigarett in me oog gekregen nu prikt het en voelt het net of er heletijd een beesje in me oog zit gaat dit vanzelf over of moet ik naar de dokter toe?
44;Ik heb al sinds langere tijd last van tranende ogen. Sinds een week heb ik ook last van pijn achter mijn ogen en ik voel het ook aan beide zijkanten in mijn achterhoofd. Wat is er aan de hand?
45;Ik heb bloeding in mij oog
46;Ik heb constant het gevoel alsof er een haartje/zand in mijn oog zit. Dit is niet het geval, ik zie wel een klein verkleurd gedeelte wat lijkt op een kleine slijmopeenhoping in mijn oog, deze zit onder het vliesje. Wat zou dit kunnen zijn en wat kan ik hiertegen doen? Alvast bedankt!
47;Ik heb een tranend oog door talgkliertjes. Wie kan die verwijderen?
48;Ik heb heel erg veel hoofdpijn licht in me hoofd heb rode uitslag op me armen en me ogen braden krijg ook steek rechts in me zij wat door trekt naar me borst Attachments: IMG 20180204 WA0006.jpeg
49;Ik heb n wit bultje op mijn linker ooglid aan de bovenkant kan dat kwaad?
50;Ik heb nu 1 dag last van pijn rondom de ogen als ik rondkijk zonder mijn hoofd te bewegen. Vooral links doet pijn. Als ik een tijdje dezelfde kant op kijk en niet beweeg gaat de pijn over. Wat kan dit zijn? Moet ik me zorgen maken?
51;Ik heb nu voor de tweede keer in korte tijd een bloeddoorlopen oog. Kan dat kwaad? Heb geen hoge bloeddruk, slik wel bloed verdunners.
52;Ik heb sinds gister een zwart puntje onder me bovenste ooglid, ik krijg het er niet uit en het is super irritant vannacht geen oog dicht gedaan heb al 45minuten in de wacht gestaan bij de dokterswacht maar kom er niet door heen, misschien een tip om het eruit te krijgen?
53;Ik heb zaterdag nacht veel moeten braken en hiervan had ik een bloeduitstorting op mijn oogwit door de druk die op me ogen is gekomen. Maar nu is het donderdag en het word elke dag erger, is dit normaal?
54;Ik merk de laatste tijd dat ik met mijn rechteroog wat warmer zie wat meer roodbruin, en met het linkeroog wat koeler wat meer grijgroen. Het is echt minimaal en heb er niet altijd last van. Herkend iemand dit, of heeft iemand ook iets met kleuren zien om het zo maar te zeggen? Groet.
55;Ik zie regelmatig golfjes onder en boven. Het doet geen pijn, maar ik vraag me af waar het door komt. Iets te kort in mijn voeding of stress.
